CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
NCI-H226,ALK_2,PIK3CB,3,3,0.646507167,10,89.43940316,2.156600148,2.2319324,0,87.45666,-1,ALK_2.PIK3CB
SW780,BCL2_BCL2L1,PIM1,3,0.3,3,2.6731629,61.22840254,0.014071182,1.0709147,21.59314902,87.04385,1,BCL2_BCL2L1.PIM1
NCI-H1793,AKT,CSNK2A1_2,0.1,3,0.011763718,1.6387627,5.02876153,3,1.1922244,44.49546473,86.79528,1,AKT.CSNK2A1_2
MDA-MB-436,BRAF_M2,MAP2K_1,3,3,1,0,100,1.625754376,2.3749876,72.62463969,85.6308,1,BRAF_M2.MAP2K_1
NCI-H1437,AKT,CSNK2A1_2,0.1,3,0.009332192,2.9569306,13.12352278,1.950900898,2.33301,0,84.61169,1,AKT.CSNK2A1_2
HCC1954,AKT_1,PIK3C,3,3,1.073519357,2.5361942,3.68825621,1.574165916,0.9541982,0,84.41957,1,AKT_1.PIK3C
SW780,ERBB,MAP2K_1,3,3,1.443730183,2.4458406,45.38994289,1,0,100,83.7001,1,ERBB.MAP2K_1
HCC70,MAP2K_3,PIK3C,3,0.3,0.400263538,0.3839462,0,0.3,0.3693615,27.84511569,83.41135,1,MAP2K_3.PIK3C
MDA-MB-453,BRAF_M2,MAP2K_1,3,3,1.003520915,10,88.59978677,3,0.9619627,67.31247174,82.21023,1,BRAF_M2.MAP2K_1
NCI-H2085,BCL2,CarboTaxol,1,3,0.003650636,1.1356151,40.93226508,1.011928964,1.2132723,0,81.91457,1,BCL2.CarboTaxol
NCI-H520,IAP,TNF,0.1,3,1,0,100,1,0,100,81.74721,-1,IAP.TNF
HCC1806,ADAM17,PIK3C,1,75,0.327702197,10,26.49892877,1,0,100,80.9991,1,ADAM17.PIK3C
BT-474,BCL2L1,PIK3C,3,3,0.634076143,1.9371982,0,0.303920687,10,72.19977425,80.88263,-1,BCL2L1.PIK3C
SW837,BRAF_M2,MAP2K_1,3,3,0.896918875,5.5348037,49.2366724,1,0,100,80.45503,-1,BRAF_M2.MAP2K_1
CAMA-1,AKT_1,PIK3CB_PIK3CD,1,1,0.155274174,0.9811292,12.42665233,0.531904722,1.3312912,0,79.41426,1,AKT_1.PIK3CB_PIK3CD
NCI-H520,FGFR,MTOR_3,3,3,0.00037037,0.1,26.07131167,0.046632761,10,70.24880605,78.08926,1,FGFR.MTOR_3
NCI-H520,PIM1,TOP2_2,3,3,2.794214042,1.1104363,0,1,0,100,77.16998,1,PIM1.TOP2_2
HT-1197,BCL2_BCL2L1,IAP,3,3,3,1.1182587,9.9207005,3.00E-04,0.1,78.85103811,76.29174,1,BCL2_BCL2L1.IAP
A549,ALK_2,MTOR_1,3,3,0.896292006,2.3307487,67.32208779,3,1.1091575,19.52176384,75.93458,1,ALK_2.MTOR_1
BT-20,AKT,ERBB,3,3,0.013879472,0.8737687,76.19738339,1.180737562,0.9237286,1.90126474,75.40316,1,AKT.ERBB
NCI-H3122,BRAF_M2,MAP2K_3,0.3,3,0.00573492,0.6151613,0,2.673238296,0.7353728,5.63418238,75.28513,1,BRAF_M2.MAP2K_3
NCI-H2228,BRAF_M2,MAP2K_1,3,3,0.393555216,1.1134933,41.19126916,3,0.9424405,28.50792427,75.0193,1,BRAF_M2.MAP2K_1
TCCSUP,AKT,FGFR,3,3,0.031755742,1.6048452,57.970278,0.215065357,1.2950605,64.58618258,74.1667,1,AKT.FGFR
MDA-MB-468,AKT,CSNK2A1_2,0.1,3,0.026379576,10,2.99895356,2.405581047,10,0,73.59342,-1,AKT.CSNK2A1_2
SW620,IGFR_3,MAP2K_1,0.3,3,0.3,0.8424031,19.36097668,0.051237201,2.0557277,92.23010507,73.42558,1,IGFR_3.MAP2K_1
NCI-H3122,ALK_2,TOP2,3,3,0.058824953,10,28.61402444,0.088138877,1.5112005,0,73.32187,-2,ALK_2.TOP2
Calu-6,AKT,CSNK2A1_2,0.03,3,0.010394843,1.3717221,0,0.03633312,1.0720487,70.01248118,73.02446,1,AKT.CSNK2A1_2
RT4,FGFR,MTOR_3,3,3,3,0.3495734,6.18780364,1.229347134,0.592396,0,72.74892,1,FGFR.MTOR_3
HT-29,BRAF_M2,MAP2K_1,3,3,3,10,88.80142898,1,0,100,72.61664,-1,BRAF_M2.MAP2K_1
A549,BRAF_M2,MAP2K_3,0.3,3,0.012641781,1.1560554,6.14699782,3,10,65.20000689,72.17994,1,BRAF_M2.MAP2K_3
HCC1419,BRAF_M2,MAP2K_1,3,3,1.050990707,0.6437888,55.35125074,3,0.7290686,60.67702856,71.11819,1,BRAF_M2.MAP2K_1
HCC1806,AKT_1,PIK3C,1,1,0.308850689,10,23.09931593,0.324659905,2.3110371,30.10163306,71.09962,1,AKT_1.PIK3C
MCF7,ESR1_1,PIK3C,3,3,0.339188064,2.8581567,13.72428666,3.00E-04,0.1,27.23665383,71.06812,1,ESR1_1.PIK3C
HCC38,ATR_4,MAP2K_1,1,1,1.00E-04,0.1,92.99665044,0.318302211,10,35.69926462,70.78618,1,ATR_4.MAP2K_1
T-24,MAP2K_1,PIK3C,3,3,1.130127925,10,52.49726483,0.255436907,0.9046467,18.20970122,70.5352,1,MAP2K_1.PIK3C
CAL-120,ERBB,FGFR,1,1,0.025526342,10,86.93308291,0.326953295,10,92.59987958,69.96979,1,ERBB.FGFR
Calu-3,BRAF_M2,MAP2K_3,0.3,3,0.155112681,0.701896,0,1,0,100,69.60122,1,BRAF_M2.MAP2K_3
SW48,MAP2K_1,TKI,3,3,0.007030606,0.6198051,22.1487544,0.074402335,0.871457,21.42622431,69.31692,1,MAP2K_1.TKI
NCI-H1437,BCL2,CSNK2A1_2,0.1,3,0.010198758,2.182701,11.4827926,3,0.7544479,48.1559293,69.18126,1,BCL2.CSNK2A1_2
MDA-MB-468,AKT_1,EGFR,0.1,1,0.040987363,0.9559652,58.08535914,1,0.7419602,11.03481013,69.06695,1,AKT_1.EGFR
BT-474,AKT_1,BCL2L1,3,3,0.423107269,2.5531691,68.03694944,0.233787901,1.8279039,8.83725309,68.97629,1,AKT_1.BCL2L1
RKO,IAP,PARP1,10,1,4.123887254,10,42.29179174,0.009931242,1.0167467,83.40919344,68.72678,1,IAP.PARP1
VM-CUB-1,ERBB,MAP2K_1,3,3,0.295626764,1.2074194,74.80007462,3.00E-04,0.1,60.12624545,67.79423,1,ERBB.MAP2K_1
HCC1954,AKT_1,EGFR_2,3,3,0.223736655,1.9575749,43.26745134,1.412989503,0.9118778,0,66.96092,1,AKT_1.EGFR_2
NCI-H2228,PIM1,TOP2_2,3,3,0.302171384,0.830244,12.29506382,0.341114449,2.7022708,71.3906755,66.89596,1,PIM1.TOP2_2
NCI-H838,BRAF_M2,MAP2K_3,0.3,3,0.127668548,10,84.99707692,1,0,100,66.67803,-1,BRAF_M2.MAP2K_3
NCI-H838,BCL2L1,IAP,1,3,0.005939465,0.5840547,17.62679532,3,0.7003682,84.4858545,66.47357,1,BCL2L1.IAP
C32,MAP2K_1,PIK3C,10,3,3.091280878,1.4097696,0,0.170482138,0.7010458,6.93358795,65.79356,1,MAP2K_1.PIK3C
HT-29,MAP2K_1,TKI,3,3,3,0.2639249,63.96685585,0.093707971,1.1775495,19.83033601,65.47378,1,MAP2K_1.TKI
TCCSUP,IAP,PARP1,3,0.03,3,0.9608741,37.68318239,0.03,0.1733121,42.3168312,65.03906,1,IAP.PARP1
CAL-148,BCL2_BCL2L1,PIM1,1,1,0.099535775,10,89.24994098,0.349467584,2.5890545,39.5757224,64.96824,1,BCL2_BCL2L1.PIM1
NCI-H1793,ALK,CSNK2A1_2,0.1,3,0.010202214,1.74774,7.28928245,1.519967915,1.4862446,0,64.74079,1,ALK.CSNK2A1_2
HCC70,AKT,Chloroquine,10,3,1,0,100,0.257552275,2.6393952,45.33271408,64.59052,-1,AKT.Chloroquine
NCI-H2228,BRAF_M2,MAP2K_3,0.3,3,0.035495173,0.7013413,0,3,0.4012688,25.69077022,64.56711,-2,BRAF_M2.MAP2K_3
MDA-MB-468,AKT_1,PIK3C,1,1,1,10,88.800194,0.344364873,10,65.19917545,64.39026,1,AKT_1.PIK3C
HCC1395,ERBB,FGFR,1,1,0.009374741,1.4137862,47.21351267,1,0.3218791,84.79074927,64.35238,1,ERBB.FGFR
NCI-H226,AKT,CSNK2A1_2,0.1,3,0.00469598,1.9189471,0,0.217059459,0.395664,0,64.27931,-2,AKT.CSNK2A1_2
HCC38,BCL2_BCL2L1,PIM1,1,1,1,0,100,0.199226861,2.5648416,8.53839023,64.09607,1,BCL2_BCL2L1.PIM1
HCC1395,AKT_SGK,FGFR,1,1,0.012940157,1.890418,50.38673312,0.261484023,0.7872796,20.31487395,63.79015,1,AKT_SGK.FGFR
UACC-812,HSP90,MAP2K_1,1,1,0.361356484,10,84.39940688,0.048042675,10,0,63.52179,-3,HSP90.MAP2K_1
HT-29,MAP2K_1,PIK3C,10,3,0.455521504,1.1434498,6.09131258,0.09716834,0.903799,18.65748296,63.35664,1,MAP2K_1.PIK3C
SW620,BRAF_M2,MAP2K_1,3,3,0.751089612,2.1517261,28.07066837,1,0,100,62.90719,-1,BRAF_M2.MAP2K_1
HCC1419,BCL2L1,IAP,3,3,3,0.1196593,29.26350377,0.057747631,1.1835097,73.3830879,62.42558,1,BCL2L1.IAP
VM-CUB-1,MAP2K_1,PIK3C,3,3,3,3.4798286,6.20032633,0.308199351,1.114151,71.15549865,62.30205,1,MAP2K_1.PIK3C
HCC1954,BCL2L1,MTOR_1,1,3,0.06219999,1.0256925,10.32731862,0.023027469,2.4676328,70.47325729,62.07536,1,BCL2L1.MTOR_1
Calu-6,BCL2L1,IAP,1,3,1.00E-04,0.1,49.42616098,0.017069104,1.5430734,69.50050453,62.02191,1,BCL2L1.IAP
647-V,BCL2_BCL2L1,PIM1,3,3,1,0,100,2.653788955,0.6827842,27.45218835,61.93823,1,BCL2_BCL2L1.PIM1
NCI-H1299,BRAF_M2,MAP2K_3,0.3,3,0.006957615,0.6164439,6.45667406,3,1.0772197,18.87812552,61.87433,1,BRAF_M2.MAP2K_3
NCI-H1793,CSNK2A1_2,SYK,3,0.1,1.424075243,0.6364631,0,0.010352652,1.6933825,7.24401911,61.05855,1,CSNK2A1_2.SYK
BT-474,ESR1_1,PIK3C,3,3,0.626068687,1.8026778,0,3.00E-04,0.1,62.99703512,61.02119,1,ESR1_1.PIK3C
DMS-114,ALK_2,MTOR_1,3,3,0.15199748,1.1798795,13.46420434,3,0.4706589,7.11624829,60.93739,1,ALK_2.MTOR_1
HCC1954,AKT,ERBB,3,3,0.072592599,0.6781367,23.03683122,0.128993277,0.3857207,0,60.80097,1,AKT.ERBB
NCI-H838,BRAF_M2,MAP2K_1,3,3,0.675004467,0.3850162,49.88677569,1.330528086,1.1569042,73.49232866,60.77705,1,BRAF_M2.MAP2K_1
MFM-223,ESR1,FGFR,1,1,0.099323521,10,30.7494546,1,0,100,60.70514,-3,ESR1.FGFR
RKO,IAP,Oxaliplatin,3,1,1.202934211,10,8.1901354,0.017961248,1.195272,84.11129696,60.55878,1,IAP.Oxaliplatin
NCI-H358,BCL2L1,Vinorelbine,0.03,3,0.010964736,10,54.69807209,0.068872868,0.6224078,87.19696834,60.42145,1,BCL2L1.Vinorelbine
MDA-MB-231,BCL2_BCL2L1,PIM1,1,1,0.267756667,10,92.99997021,0.422353446,1.9480998,55.64692307,59.91482,1,BCL2_BCL2L1.PIM1
NCI-H1437,ALK_2,MTOR_1,3,3,0.410839141,0.8410677,0,0.524537422,0.6460663,0,59.67383,1,ALK_2.MTOR_1
BFTC-905,PARP1,PIK3C,3,3,1.939741844,0.9103217,0,3,0.5279632,27.87298522,59.57785,1,PARP1.PIK3C
NCI-H1299,IAP,PIK3CA_3,3,1,1.171129698,10,60.19672795,0.061041121,0.830996,30.34553267,59.52634,1,IAP.PIK3CA_3
SW48,BCL2,Oxaliplatin,3,3,0.175281248,0.9049669,0,0.179330716,1.1118291,20.05949051,59.1182,1,BCL2.Oxaliplatin
647-V,MAP2K_1,PIK3C,3,1,1.201815938,3.2457705,56.05445483,0.616779502,1.2795424,70.18484557,59.11532,1,MAP2K_1.PIK3C
MDA-MB-436,BRAF_M2,MAP2K_3,0.3,3,0.046794213,0.9521126,70.24620849,0.52404971,1.5550659,76.83242882,59.04679,1,BRAF_M2.MAP2K_3
HCC1954,ERBB,MTOR_1,1,3,0.075034799,3.7403569,18.84746036,0.111944978,0.8956798,29.2321781,58.95993,1,ERBB.MTOR_1
HT-1376,AKT,ERBB,1,3,0.09903298,0.8718467,45.59204666,0.185525235,0.7176284,30.00263589,58.82512,1,AKT.ERBB
NCI-H1437,BCL2L1,IAP,1,3,1,0.4196767,34.07536676,3,0.2687824,64.57176063,58.52006,1,BCL2L1.IAP
HCC1187,BRAF_M2,MAP2K_1,3,3,3,0.5658762,38.44513504,1,0,100,58.33042,1,BRAF_M2.MAP2K_1
HCC1569,AKT,BCL2L1,3,3,0.061806783,0.6390155,32.92658547,1.311435443,0.4190022,0,58.2951,1,AKT.BCL2L1
LS-513,BRAF_M2,MAP2K_1,1,3,0.081753982,1.2511118,0,0.632839691,1.3383839,0,57.98544,1,BRAF_M2.MAP2K_1
Calu-3,BCL2L1,IAP,1,3,1,0,100,1,0,100,57.90746,-1,BCL2L1.IAP
BT-474,BRAF_M2,MAP2K_1,3,3,0.908645115,10,79.79952374,1,0,100,57.90503,-1,BRAF_M2.MAP2K_1
Calu-3,BRAF_M2,MAP2K_1,3,3,1.720707989,1.003801,71.11822892,1,0,100,57.72629,-1,BRAF_M2.MAP2K_1
HT-29,IAP,PTK2,10,1,0.454887585,1.7972209,4.11247229,1,10,94.80002624,57.69479,1,IAP.PTK2
NCI-H23,ALK_2,MTOR_1,3,3,0.159741932,1.3153747,23.23680521,0.50588455,0.4048828,0,57.50511,1,ALK_2.MTOR_1
HCC70,AKT_1,PIK3CB_PIK3CD,1,1,0.271532097,10,12.79878926,0.348293252,10,63.49900675,57.46938,-1,AKT_1.PIK3CB_PIK3CD
SW837,MAP2K_1,PIK3C,10,3,0.810688223,0.5522697,30.30691137,0.208264938,0.6917772,36.66997637,57.38142,1,MAP2K_1.PIK3C
SW780,BCL2_BCL2L1,MAP2K_1,3,0.3,0.533369061,0.4744427,0,0.015736809,1.1100418,21.6486985,57.32646,1,BCL2_BCL2L1.MAP2K_1
SW948,BCL2,MAP2K_1,3,3,0.241826515,0.7069275,0,1.673056149,3.1157154,39.68635761,57.30354,1,BCL2.MAP2K_1
SW900,ALK_2,MTOR_1,3,3,0.437336361,0.9340842,22.2224148,1.360295387,0.6100479,0,56.77943,1,ALK_2.MTOR_1
A549,Doxorubicin,TOP2,3,0.1,3.00E-04,0.1,87.32427417,0.060921179,2.5065733,0,56.57299,1,Doxorubicin.TOP2
MDA-MB-415,BCL2L1,MTOR_1,1,3,0.059965109,1.5616246,21.46959385,1.091914716,0.4694411,65.19742341,56.23353,1,BCL2L1.MTOR_1
CAMA-1,AKT_1,PIK3C,1,1,0.360270524,10,54.39831936,0.339574434,3.3347802,24.90585581,56.20645,1,AKT_1.PIK3C
HT-1376,ERBB,MAP2K_1,3,1,3,0.5461351,16.2816006,0.10120688,1.343014,45.7416797,56.20092,1,ERBB.MAP2K_1
NCI-H838,ALK,MTOR_1,3,3,0.206729301,1.6643142,11.85898272,0.828780438,1.5300341,0,56.10523,1,ALK.MTOR_1
NCI-H747,IAP,Oxaliplatin,10,1,1.46814455,1.0857542,12.36943627,0.169039683,0.3328251,20.68338556,55.24217,1,IAP.Oxaliplatin
BT-20,AKT_1,EGFR,0.1,1,0.080355151,0.8289283,68.61381303,0.332362032,0.9906131,61.59246182,55.06239,1,AKT_1.EGFR
HCC1954,AKT_1,BCL2L1,3,3,0.13800224,0.2968474,43.9310556,1.910247891,0.8508443,0,54.85981,1,AKT_1.BCL2L1
MDA-MB-468,AKT_1,PIK3CB_PIK3CD,1,1,0.34522875,10,85.79963922,0.421490291,1.8857706,48.84821716,54.81554,1,AKT_1.PIK3CB_PIK3CD
NCI-H838,ALK_2,PIK3CB,3,3,3,0.8469532,53.52006141,1.90862482,0.9318512,0,54.76063,1,ALK_2.PIK3CB
COLO-205,BRAF_M2,MAP2K_1,1,3,0.074559796,0.9976353,0,0.563369895,0.8714278,0,54.02718,1,BRAF_M2.MAP2K_1
MDA-MB-468,ERBB,MTOR_1,1,3,0.196390716,2.0076634,15.16322207,3,0.212982,22.41519413,53.9436,1,ERBB.MTOR_1
DU-4475,PIK3C,PIM1,1,1,0.046670136,1.4348705,0,0.121529106,1.0586741,0,53.87112,1,PIK3C.PIM1
T-24,IAP,PARP1,3,1,3,10,20.6004741,1,10,81.60013203,53.85536,-1,IAP.PARP1
BFTC-905,BCL2_BCL2L1,PIM1,3,3,1,0,100,1.489457244,1.5546904,57.46989921,53.77934,1,BCL2_BCL2L1.PIM1
BT-20,EGFR,MAP2K_1,1,0.1,0.129993535,0.9991397,49.261173,0.015227843,1.3736771,76.15891357,53.61903,1,EGFR.MAP2K_1
NCI-H1793,ADAM17,PIK3C,3,10,0.57493283,0.9984146,5.43699364,0.0926637,10,74.6249566,53.52265,1,ADAM17.PIK3C
MDA-MB-157,AKT,ALK_IGFR,1,1,0.262517791,1.4661499,53.83975117,0.141323799,3.758825,85.46872771,53.44158,1,AKT.ALK_IGFR
M14,MAP2K_1,PIP5K1,1,1,1,0,100,0.259774278,10,31.59782253,53.1239,1,MAP2K_1.PIP5K1
HCC1937,AKT,TNKS_PARP6,1,1,0.098550133,10,61.59966185,1,10,82.60014224,52.92926,-1,AKT.TNKS_PARP6
MDA-MB-468,MAP2K_1,PIK3C,3,3,1.050975727,10,49.49855239,0.061905647,0.7521089,75.92222751,52.91752,1,MAP2K_1.PIK3C
MDA-MB-157,ALK_IGFR,PIK3CB_PIK3CD,1,1,1,0.5217366,22.83788071,0.577489567,1.9828503,0,52.80788,1,ALK_IGFR.PIK3CB_PIK3CD
SW780,BCL2_BCL2L1_BCL2L2,FGFR,3,3,0.720070159,0.4966396,0,1.006505127,0.7827625,5.1000456,52.66815,1,BCL2_BCL2L1_BCL2L2.FGFR
BT-20,MAP2K_1,PIK3C,3,3,1.594499794,1.1692251,0,0.034448055,0.5991049,71.55123654,52.52023,1,MAP2K_1.PIK3C
NCI-H358,ALK_2,MTOR_1,3,3,0.321661538,0.9577857,19.22887087,0.227408287,0.8919736,33.93516969,52.32034,1,ALK_2.MTOR_1
NCI-H1793,BCL2L1,IAP,3,3,3,0.4361631,48.54890891,3,0.4084174,9.02484449,52.07144,1,BCL2L1.IAP
HCC1395,EGFR,FGFR,1,0.1,0.013034717,2.1859059,48.96726959,0.067389365,1.2753036,90.21014932,51.98533,1,EGFR.FGFR
RKO,BCL2,MAP2K_1,3,3,1.156267885,4.1921486,61.40361959,3,10,72.60048765,51.79689,1,BCL2.MAP2K_1
NCI-H522,PIM1,TOP2_2,3,3,0.336011471,1.0662544,0,3,0.6881679,75.31380472,51.57545,1,PIM1.TOP2_2
SW837,MAP2K_1,TKI,3,3,3,0.5090234,46.25522503,0.264581611,0.5951436,38.68329122,51.43114,1,MAP2K_1.TKI
MDA-MB-361,BCL2L1,IAP,3,3,3.00E-04,0.1,74.98559845,0.077417673,2.9005077,68.86171678,51.3085,1,BCL2L1.IAP
MDA-MB-415,BCL2L1,PIK3C,3,3,2.265453832,1.2784221,0,0.332035966,0.4828397,73.51217181,51.03849,1,BCL2L1.PIK3C
BT-474,BRAF_M2,MAP2K_3,0.3,3,0.019625364,1.9411681,57.23979199,1,0,100,50.9503,-1,BRAF_M2.MAP2K_3
HCC1806,ERBB,MAP2K_1,1,1,0.294223526,1.338853,29.93877001,1,0,100,50.84485,1,ERBB.MAP2K_1
RKO,IAP,PTK2,3,1,0.554513496,2.9263628,4.07459438,0.01237373,0.7512735,81.26427602,50.71988,1,IAP.PTK2
HCC1187,MAP2K_3,PIK3C,3,0.3,0.344462689,1.2708662,12.37442058,0.011645489,1.0610434,51.32102111,50.61146,1,MAP2K_3.PIK3C
SW900,IAP,Vinorelbine,0.1,3,0.019645127,2.9723074,32.86221042,2.078708405,0.160256,0,50.3246,1,IAP.Vinorelbine
DMS-114,Doxorubicin,TOP2,3,0.1,3,0.8099822,37.87832636,0.028180025,1.6604088,8.78230274,49.99202,1,Doxorubicin.TOP2
SW948,IGFR_4,MAP2K_1,3,10,0.110081049,1.1820593,12.72572431,0.3333033,0.6294712,0,49.82728,1,IGFR_4.MAP2K_1
MFM-223,AKT_1,PIK3CB_PIK3CD,1,1,0.554612298,1.8304316,75.51419663,0.209337907,1.3635579,22.8055127,49.47563,1,AKT_1.PIK3CB_PIK3CD
TCCSUP,IAP,TNF,0.03,0.03,3.00E-06,0.1,88.95779847,0.000806127,0.4593252,65.50548137,49.08166,1,IAP.TNF
NCI-H747,IAP,PTK2,3,1,0.396067446,1.5643898,21.30304872,0.006220492,0.3983897,48.44546905,49.03739,1,IAP.PTK2
MDA-MB-415,AKT_1,ESR1_1,3,3,3,0.2513992,61.49512387,0.267076135,1.1606021,34.72575018,49.00117,1,AKT_1.ESR1_1
NCI-H1563,CSNK2A1_2,SYK,3,0.03,0.711824849,0.9083529,0,0.008814807,1.0191472,0,48.97047,1,CSNK2A1_2.SYK
Calu-6,IAP,TOP2_2,3,1,0.614578909,1.711808,13.17630099,0.092939155,0.1,31.39127838,48.77588,1,IAP.TOP2_2
NCI-H3122,BCL2L1,IAP,0.3,3,0.3,0.227464,71.04845095,0.042019295,1.6438364,77.05499616,48.75784,1,BCL2L1.IAP
HCC70,AKT_1,PIK3C,1,1,1,10,26.00045101,0.329528309,10,62.2993737,48.69135,1,AKT_1.PIK3C
COLO-205,IAP,PTK2,3,1,0.505807039,1.9336665,0,1,0.4695847,51.47087129,48.58531,1,IAP.PTK2
HCC1806,ADAM17,MTOR_1,1,75,0.347728705,1.2629858,0,1,0,100,48.54537,1,ADAM17.MTOR_1
NCI-H23,BCL2L1,IAP,1,3,0.219144962,0.1464532,0,0.026892707,10,80.77499563,48.47307,1,BCL2L1.IAP
NCI-H1975,ALK_2,PIK3CB,3,3,3,0.6514272,33.39995441,0.51974046,0.8810773,0,48.32354,1,ALK_2.PIK3CB
NCI-H1793,IAP,PIK3CA_3,3,3,1.442200364,2.4313338,64.2446663,3,0.4794537,39.3913988,48.23978,1,IAP.PIK3CA_3
SW837,IAP,SN38,0.03,1,0.002057426,1.658242,15.74780951,0.175301315,2.0644712,81.2903989,48.22027,1,IAP.SN38
MDA-MB-361,ERBB,MTOR_1,1,3,0.130810333,1.6520345,27.81521214,0.300626836,0.8680601,33.50743433,48.05224,1,ERBB.MTOR_1
RKO,IAP,SN38,0.03,1,0.0024039,10,3.84683204,0.054684832,4.9623111,90.85335138,48.04435,1,IAP.SN38
NCI-H358,BCL2L1,CarboTaxol,0.01,3,0.001716258,1.5707317,18.00186493,3.00E-04,0.1,91.87490139,48.02275,1,BCL2L1.CarboTaxol
