CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,A_HBA,A_cLogP,A_HBD,A_Lipinski,A_MW,A_ALogP/XLogP,A_PSA,A_#RotBonds,A_Arom Rings,A_Heavy atoms,A_QED,B_HBA,B_cLogP,B_HBD,B_Lipinski,B_MW,B_ALogP/XLogP,B_PSA,B_#RotBonds,B_Arom Rings,B_Heavy atoms,B_QED
BT-549,ADAM17,BCL2_BCL2L1,1,75,0.0001,0.1,79.2327182,0.0075,0.1,90.99552485,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
CAMA-1,ADAM17,BCL2_BCL2L1,1,75,1,0.3516074,65.8142818,0.0075,0.1,92.50811196,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
DU-4475,ADAM17,BCL2_BCL2L1,1,75,0.008056722,10,0.07495373,37.43606425,1.3723419,30.85452463,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
HCC1395,ADAM17,BCL2_BCL2L1,1,75,1,0.1410164,86.38158091,75,10,94.60023707,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
HCC1806,ADAM17,BCL2_BCL2L1,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
HCC70,ADAM17,BCL2_BCL2L1,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
MDA-MB-157,ADAM17,BCL2_BCL2L1,1,75,0.333916014,0.6913991,76.91744732,0.0075,4.2347996,90.9,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
MDA-MB-231,ADAM17,BCL2_BCL2L1,1,75,0.715984947,0.8847617,38.57026538,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
MDA-MB-436,ADAM17,BCL2_BCL2L1,1,75,1,10,76.00006623,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
MDA-MB-468,ADAM17,BCL2_BCL2L1,1,75,1,0.505492,25.21283178,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
MFM-223,ADAM17,BCL2_BCL2L1,1,75,0.351511036,10,61.79889402,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
BT-549,ADAM17,FGFR,1,75,0.055009017,0.4464461,54.09263958,0.0075,0.1,83.55205894,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC1143,ADAM17,FGFR,1,75,1,0,100,0.0075,0.1,92.4045839,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC1395,ADAM17,FGFR,1,75,0.013427301,1.5466845,47.80606311,75,10,94.0002773,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC1937,ADAM17,FGFR,1,75,0.038940144,0.1,94.04001436,75,0.3084867,89.76930453,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC38,ADAM17,FGFR,1,75,0.023901169,3.7962899,85.60681542,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-157,ADAM17,FGFR,1,75,0.027859574,1.8030787,33.76023053,4.23547316,0.6425969,92.78937105,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-231,ADAM17,FGFR,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-436,ADAM17,FGFR,1,75,1,3.0097488,82.01368751,2.089503643,2.383122,94.16472965,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-453,ADAM17,FGFR,1,75,0.235456711,10,29.2715289,16.44653795,10,93.55403117,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-468,ADAM17,FGFR,1,75,0.0001,0.1,88.92630966,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
BT-549,ADAM17,MAP2K_1,1,75,1,0.9814525,81.02429198,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
CAL-148,ADAM17,MAP2K_1,1,75,0.011726036,2.1293813,92.37127575,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
CAMA-1,ADAM17,MAP2K_1,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
DU-4475,ADAM17,MAP2K_1,1,75,0.020731106,2.0999805,0,34.79576036,0.5542895,0,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1143,ADAM17,MAP2K_1,1,75,0.043476892,1.4064031,67.02537454,0.737686901,10,89.09999872,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1187,ADAM17,MAP2K_1,1,75,0.2216958,0.4144753,21.95251432,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1395,ADAM17,MAP2K_1,1,75,0.076732378,0.7601594,76.19423244,75,0.4515384,86.36457426,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1937,ADAM17,MAP2K_1,1,75,0.025349307,1.5962705,85.57410212,75,0.2035039,88.7905746,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC38,ADAM17,MAP2K_1,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MDA-MB-436,ADAM17,MAP2K_1,1,75,0.225686973,0.5339835,43.78283732,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MDA-MB-453,ADAM17,MAP2K_1,1,75,1,0,100,0.0075,0.1,94.51706033,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
BT-20,ADAM17,MTOR_1,1,75,0.605687563,1.2654588,0,75,0.8477869,68.22682053,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
CAMA-1,ADAM17,MTOR_1,1,75,0.485716842,1.5216843,4.35688537,0.0075,0.1,88.88012885,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
DU-4475,ADAM17,MTOR_1,1,75,0.204543966,2.5341734,21.5668768,39.48870844,0.843183,0,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
HCC1187,ADAM17,MTOR_1,1,75,0.266598382,10,13.5989091,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
HCC1395,ADAM17,MTOR_1,1,75,0.696868982,0.7587955,0,47.61171748,0.1,76.01912514,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
HCC1428,ADAM17,MTOR_1,1,75,0.325342324,10,50.59933862,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
HCC1806,ADAM17,MTOR_1,1,75,0.347728705,1.2629858,0,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MDA-MB-231,ADAM17,MTOR_1,1,75,0.402675902,0.937076,16.1590358,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MDA-MB-436,ADAM17,MTOR_1,1,75,0.195210716,3.1610905,28.63606438,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MDA-MB-453,ADAM17,MTOR_1,1,75,0.274518195,10,14.5990224,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
CAMA-1,ADAM17,PIK3C,1,75,1,1.9510265,7.0333385,0.615639894,0.6087861,91.55943613,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
HCC1806,ADAM17,PIK3C,1,75,0.327702197,10,26.49892877,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
HCC70,ADAM17,PIK3C,1,75,0.359904181,10,42.59790667,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-157,ADAM17,PIK3C,1,75,0.213489145,0.8908223,54.80015184,33.76955423,1.397694,92.88769551,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-231,ADAM17,PIK3C,1,75,0.180376202,0.8966292,63.60149112,75,0.3864103,87.8022141,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-453,ADAM17,PIK3C,1,75,0.217106729,2.8991948,13.0986261,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-468,ADAM17,PIK3C,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MFM-223,ADAM17,PIK3C,1,75,0.244419289,1.6967242,40.11335669,75,1.8437271,83.95964752,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
M14,ADAM17,PIK3C,1,75,0.308036694,10,55.09962372,0.0075,0.1,94.2352171,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
CAL-148,ADAM17,PIK3CB_PIK3CD,1,75,0.331855714,2.698131,17.086469,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
HCC1143,ADAM17,PIK3CB_PIK3CD,1,75,0.221232701,0.7390243,61.40457616,0.88526659,10,84.99989563,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
HCC1187,ADAM17,PIK3CB_PIK3CD,1,75,0.309892385,10,74.4997625,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
HCC1395,ADAM17,PIK3CB_PIK3CD,1,75,0.088649987,0.3479042,41.86456382,75,1.0666862,83.89581448,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
HCC1428,ADAM17,PIK3CB_PIK3CD,1,75,1,0,100,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
HCC1806,ADAM17,PIK3CB_PIK3CD,1,75,0.186067205,1.6790956,90.48303234,75,0.1905866,91.42221993,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
HCC38,ADAM17,PIK3CB_PIK3CD,1,75,0.128411677,1.1401404,83.14393235,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
Hs-578-T,ADAM17,PIK3CB_PIK3CD,1,75,1,0.3251117,27.55487037,0.0075,0.1,71.47072724,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
MDA-MB-157,ADAM17,PIK3CB_PIK3CD,1,75,1,0.219944,0.96308739,0.729082264,10,87.89998986,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
MDA-MB-468,ADAM17,PIK3CB_PIK3CD,1,75,0.0001,0.1,94.07450183,1,0,100,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
MFM-223,ADAM17,PIK3CB_PIK3CD,1,75,1,0.3926152,45.66550563,0.765201846,10,91.99998861,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
M14,ADAM17,PIK3CB_PIK3CD,1,75,0.475349779,0.6757956,0,0.461424392,1.4729437,82.67273131,4.51,0.39143,2.433,0.02,340.1551,0.74055,94.2867,2.896,2.632,23.822,0.64613,7,1.67,1,0,457.5,1.40895,97.79878,4.04,2.761,29.346,0.63624
CAMA-1,AKT,AKT_1,1,1,0.204065844,1.4750579,47.97346672,0.18219236,2.529306,33.50489924,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7
BFTC-905,AKT,ATR_4,3,3,0.980861481,1.9514052,0.87198217,0.431346599,1.3683925,29.29772121,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
HT-1197,AKT,ATR_4,3,1,3,0.7437595,18.50990044,0.119006782,1.1677708,48.62600643,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
HT-1376,AKT,ATR_4,3,3,0.99706367,10,38.8989183,0.184472029,0.707903,23.29124178,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
J82,AKT,ATR_4,3,3,0.781541949,2.760254,42.96683842,0.716815045,1.2008159,27.17444691,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
SW780,AKT,ATR_4,3,3,3,0.8249136,78.10303711,0.292447559,1.4247541,19.475666,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
T-24,AKT,ATR_4,3,3,1.024919271,10,7.69795337,1,0,100,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
TCCSUP,AKT,ATR_4,3,3,0.640795998,2.1107639,19.07506049,0.510841254,0.7630883,52.13376867,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657
Calu-6,AKT,CSNK2A1_2,0.03,3,0.010394843,1.3717221,0,0.03633312,1.0720487,70.01248118,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
DMS-114,AKT,CSNK2A1_2,0.03,3,0.006695559,2.5214477,13.72056572,2.269013389,1.0746787,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H1437,AKT,CSNK2A1_2,0.1,3,0.009332192,2.9569306,13.12352278,1.950900898,2.33301,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H1703,AKT,CSNK2A1_2,0.1,3,0.010632726,3.2111803,11.33381982,0.006865193,0.6639496,9.70857688,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H1793,AKT,CSNK2A1_2,0.1,3,0.011763718,1.6387627,5.02876153,3,1.1922244,44.49546473,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H2085,AKT,CSNK2A1_2,0.03,3,0.015271873,1.0418354,3.10995756,3,0.6219385,13.14693631,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H2228,AKT,CSNK2A1_2,0.1,3,0.03012002,0.7363036,0,0.346264705,0.5907502,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H23,AKT,CSNK2A1_2,0.1,3,0.006210403,1.1627392,5.59894814,0.349213203,0.3620847,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H520,AKT,CSNK2A1_2,0.03,3,0.007807537,0.9154605,0,0.54896783,0.9130528,34.54187734,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
NCI-H522,AKT,CSNK2A1_2,0.03,3,0.003040817,10,7.34964368,0.175966979,0.4201401,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,10,2.12,5,0,419.5,1.36,136.39,8,3,31,0.43
CAMA-1,AKT,Chloroquine,1,1,1,0,100,0.154730759,3.4646384,42.06744168,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,3,3.10328,1,0.316,319.9,4.6,28.2,8,3.443,22,0.58006
HCC1500,AKT,Chloroquine,1,1,0.356286842,10,71.69906182,1,1.4519821,34.25977111,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,3,3.10328,1,0.316,319.9,4.6,28.2,8,3.443,22,0.58006
MCF7,AKT,Chloroquine,1,1,1,0,100,0.335637982,10,71.89948929,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,3,3.10328,1,0.316,319.9,4.6,28.2,8,3.443,22,0.58006
647-V,AKT,ERBB,0.1,3,0.1,0.8486178,49.82420243,0.407100412,1.3522296,4.19654909,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
BFTC-905,AKT,ERBB,3,3,1,0,100,0.304681813,10,54.69988135,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
HT-1376,AKT,ERBB,1,3,0.09903298,0.8718467,45.59204666,0.185525235,0.7176284,30.00263589,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
J82,AKT,ERBB,3,3,0.0003,0.1,86.13549347,1.505053852,0.7122453,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
VCaP,AKT,ERBB,3,1,0.814719284,2.5650621,77.34244917,0.437596829,1.3963082,57.87553132,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
T-24,AKT,ERBB,3,3,1.28476503,10,84.09670069,1,0,100,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
UM-UC-3,AKT,ERBB,3,3,3,1.2211735,38.00279597,3,1.4874399,48.32013755,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.51,2,0,473.9,3.49,88.61,7,3,33,0.54
647-V,AKT,FGFR,3,3,1,0,100,0.660360558,1.7819472,7.3889885,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
22RV1,AKT,FGFR,3,1,3,10,49.80021686,0.098900794,10,75.54982509,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
T-24,AKT,FGFR,3,3,1,0,100,1,0,100,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
