,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,A_HBA,A_cLogP,A_HBD,A_Lipinski,A_MW,A_ALogP/XLogP,A_PSA,A_#RotBonds,A_Arom Rings,A_Heavy atoms,A_QED,B_HBA,B_cLogP,B_HBD,B_Lipinski,B_MW,B_ALogP/XLogP,B_PSA,B_#RotBonds,B_Arom Rings,B_Heavy atoms,B_QED,GEX_CLUSTER,ORIGIN_CLUSTER,THERAPY_CLUSTER,Target_share,Target_interaction
561,NCI-H226,ALK,MTOR_1,3.0,3.0,0.16962643800000002,1.1853136,12.20596087,0.343002618,1.5688972,0.0,26.912640000000003,8.0,3.89,2.0,1.0,532.1,3.78208,90.07313,5.216,2.47,37.304,0.5211600000000001,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,3,2,3,0,0.4660664879356568
336,MFM-223,AKT,TNKS_PARP6,1.0,1.0,0.007033495,0.6723293,17.07410639,0.061855556,0.4433318,0.0,-9.763689,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,2,1,3,0,0.0
1211,DMS-114,CSNK2A1_2,PIK3CA_3,3.0,0.03,3.0,0.4409295999999999,48.9237772,0.008941072,10.0,15.89946287,-10.98224,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,5,2,0,0,0.41310901591043014
1080,EVSA-T,BRAF_M2,MAP2K_3,0.3,0.1,0.007778913,0.1,68.31563289,0.1,0.2399212,63.83422167,-16.958270000000002,8.0,3.85907,2.0,0.045,453.4,3.5,86.7,4.0,3.022,33.0,0.59706,9.0,4.98,2.0,1.0,615.4,3.18,102.06,5.0,2.0,37.0,0.5,2,1,1,0,0.0
269,HCC1419,AKT,HDAC_4,1.0,1.0,1.0,0.0,100.0,0.299649432,10.0,49.09946378,-13.24663,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,3.0,1.45848,3.0,0.054000000000000006,264.32,1.9,78.4,8.0,2.247,19.0,0.64012,2,1,0,0,0.4992498748122183
1693,KU-19-19,IAP,PIK3C,3.0,3.0,1.0,0.0,100.0,1.0,0.0,100.0,-140.0021,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,3,3,1,0,0.4972398190045249
1873,T47D,MAP2K_1,PIK3C,3.0,3.0,0.166242939,0.9784538,11.28639176,0.014739713,0.9254242,72.04852624,28.28921,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,2,1,2,0,0.972
1237,NCI-H1563,CSNK2A1_2,TNFSF10,0.03,0.03,1.0,0.0,100.0,0.010285343,10.0,17.69814392,0.963779,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,0,0,0.3246978877540276
912,HCC1395,BCL2_BCL2L1,PIK3CA_4,1.0,1.0,1.0,1.0377275,83.80693845,1.0,0.3926973,79.89520902,-17.58875,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,3,1,1,0,0.4992498748122183
726,HT-1197,ATR_4,MAP2K_1,1.0,3.0,0.296992124,2.9300762,64.31234256,1.178691537,10.0,64.79691184,-0.5817201999999999,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,1,3,1,0,0.3065048441677199
163,EVSA-T,AKT,Chloroquine,10.0,3.0,4.571833616,0.8047988,74.74086589,0.000663646,9.2269676,0.93999999,1.589139,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,3.0,3.02202,1.0,0.316,319.9,4.6,28.2,8.0,3.4610000000000003,22.0,0.57535,2,1,0,0,0.0
1428,HCC1187,ESR1,MAP2K_1,1.0,1.0,0.499980864,0.5610505,21.41715234,1.0,0.0,100.0,26.222140000000003,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,7,1,2,0,0.4904587155963303
584,NCI-H2228,ALK_2,MTOR_1,3.0,3.0,0.089945009,0.6305347,7.31166016,0.004878268,0.3015148,3.92329466,23.83431,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,3,2,3,0,0.4660664879356568
2082,HCC38,PIK3C_2,PIK3CA_4,1.0,1.0,1.0,10.0,83.60004278,0.863265816,3.1541586,0.0,-4.623039,8.0,1.58,2.0,0.0,410.4,2.34,89.63,4.0,2.0,29.0,0.82,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,3,1,0,1,1.0
5,HCC1187,ADAM17,AKT,1.0,75.0,0.410029094,1.4969008999999998,51.92126470000001,1.0,0.0,100.0,-0.8019930000000001,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,7,1,1,0,0.45123519645821814
1304,BT-20,EGFR,MAP2K_1,1.0,0.1,0.129993535,0.9991397,49.261173,0.015227843,1.3736771,76.15891357,53.61903,8.0,4.49,2.0,0.0,485.9,3.92,88.61,8.0,3.0,34.0,0.47,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,1,1,2,0,0.781
614,SW900,ALK_2,TOP2,3.0,3.0,3.0,2.2382642,61.81638332,2.149278813,0.731725,0.0,-21.02149,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4.0,5.44,0.0,1.0,413.5,5.4,67.0,2.0,4.0,30.0,0.44,3,2,0,0,0.32298761938450654
1083,MCF7,BRAF_M2,MAP2K_3,0.3,3.0,0.003152153,1.1059696,74.77229362,1.066716664,10.0,84.29946903,25.68089,8.0,3.85907,2.0,0.045,453.4,3.5,86.7,4.0,3.022,33.0,0.59706,9.0,4.98,2.0,1.0,615.4,3.18,102.06,5.0,2.0,37.0,0.5,7,1,1,0,0.0
981,NCI-H1437,BCL2L1,IAP,1.0,3.0,1.0,0.4196767,34.07536676,3.0,0.26878240000000003,64.57176063,58.52006,9.0,3.05,2.0,1.0,651.8,3.14611,95.52711,5.21,2.337,36.429,0.54288,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,2,0,0.0
2110,Hs-578-T,PIK3CB_PIK3CD,PIP5K1,1.0,1.0,1.0,0.0,100.0,1.0,10.0,80.60023376,-57.90528000000001,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,1,1,0,0.929
1134,J82,CHEK1,IAP,3.0,1.0,0.006403589,0.7980897,28.68232004,0.324252565,10.0,47.59931921,14.52455,6.0,3.11,5.0,0.0,362.4,2.01,124.49,4.0,2.0,25.0,0.67,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,3,2,0,0.7300000000000001
1922,HCC1806,MAP2K_1,SLC16A4,1.0,1.0,1.0,0.0,100.0,0.230683554,1.8365541,38.24376905,20.66885,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,1,1,0,0,0.0
2079,HCC1143,PIK3C_2,PIK3CA_4,1.0,1.0,1.0,0.8864582000000001,50.34324307,1.0,1.5421686,12.66677665,0.2602172,8.0,1.58,2.0,0.0,410.4,2.34,89.63,4.0,2.0,29.0,0.82,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,1,1,0,1,1.0
952,KMS-11,BCL2_BCL2L1_BCL2L2,FGFR,0.03,0.3,0.03,10.0,13.80081951,0.289038725,10.0,0.0,-58.33504,14.0,8.5168,2.0,2.643,974.6,9.6,170.0,16.0,3.387,65.0,0.16577999999999998,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,7,0,3,0,0.4822715025906735
1647,UM-UC-3,HSP90,PIK3C,3.0,0.3,2.016544618,1.4169645,5.36801888,0.160491061,2.9947902,0.0,-4.968216,5.0,2.26274,2.0,0.058,409.52,3.1,67.2,4.0,3.099,30.0,0.68058,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,3,3,3,0,0.49949999999999994
2071,HT-1197,PIK3C,TNFSF10,0.03,3.0,0.0055236040000000005,10.0,94.97259657,3.0,0.8453144,7.29130897,-7.765347,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,1,3,0,0,0.32630940012007603
1562,MCF7,FGFR,Proteasome_2,0.3,3.0,0.000344866,0.6583097,0.0,3.0,10.0,56.20174783,-2.983597,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,8.0,5.21453,4.0,1.757,719.9,4.7,159.0,20.0,3.429,52.0,0.27258000000000004,7,1,2,0,0.0
941,HCC1395,BCL2_BCL2L1,SLC16A4,1.0,1.0,0.292236473,10.0,93.09989427,1.0,2.11808,88.20313781,17.3869,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,1,1,0,0.0
1437,BT-549,ESR1,MTOR_1,1.0,1.0,0.517856842,0.8492211,0.0,1.0,0.0,100.0,6.9277880000000005,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,3,1,2,0,0.4992498748122183
1128,Calu-6,CHEK1,IAP,1.0,1.0,0.0001,0.1,47.24740307,0.206775139,4.5548774000000005,15.13606106,-7.594529,6.0,3.11,5.0,0.0,362.4,2.01,124.49,4.0,2.0,25.0,0.67,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,3,0,0.7300000000000001
903,SW780,BCL2_BCL2L1,MAP2K_1,3.0,0.3,0.533369061,0.4744427,0.0,0.015736808999999997,1.1100418,21.6486985,57.32646,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,1,3,3,0,0.49949999999999994
1274,J82,EG5,PARP1,3.0,3.0,1.097830027,10.0,87.59946452,0.0003,0.1,0.84264524,5.014957,6.0,4.3986800000000015,1.0,0.735,503.7,4.5,120.0,9.0,3.72,36.0,0.44534,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,3,3,0,0,0.29511364407627994
477,MDA-MB-453,AKT_1,PIK3CB_PIK3CD,1.0,1.0,0.428618353,0.8012259,0.0,0.075278588,1.0404728,4.06263795,32.99623,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,2,1,3,0,0.991
1606,CAMA-1,HDAC_4,PARP1,1.0,1.0,0.05139222,10.0,84.78441627,1.0,10.0,7.8002245,-54.12328,3.0,1.45848,3.0,0.054000000000000006,264.32,1.9,78.4,8.0,2.247,19.0,0.64012,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,2,1,0,0,0.884
2029,HCC1937,PARP1,PIK3CB_PIK3CD,1.0,3.0,0.17432840800000002,0.8096585000000001,70.21042714,3.0,0.9997052,56.94181459,26.99353,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,1,1,1,0,0.4741152631578947
366,HCC38,AKT_1,BCL2_BCL2L1,1.0,1.0,0.181865338,3.618522,7.67397289,1.0,0.26707309999999995,80.42025382,15.21561,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,3,1,2,0,0.9980000000000001
644,T-24,ATM,Gemcitabine,0.1,3.0,0.001822055,5.793518799999998,50.06639995,1.330845539,0.924346,38.22108749,27.85968,8.0,4.28,1.0,1.0,547.7,3.82,105.63,5.0,2.0,39.0,0.6,6.0,0.8674700000000001,3.0,0.01,264.2,-0.9,121.0,2.0,1.7280000000000002,18.0,0.6238100000000001,3,3,0,0,0.45124972557628973
1485,BT-549,FASN,MAP2K_1,1.0,1.0,0.018477229,10.0,87.95209198,1.0,0.4563833,76.31551922,0.5736392,6.0,4.8,0.0,0.0,462.6,4.4,64.16,5.0,5.0,35.0,0.39,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,3,1,1,0,0.324122202636662
1044,SW948,BRAF_M,MAP2K_1,0.1,3.0,0.036469597,1.1381636,37.63069595,0.661011754,10.0,86.85093583,-98.43799,8.0,2.08,4.0,0.0,498.5,1.35241,110.32436,4.996,2.559,33.011,0.5526,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,0,0,2,0,0.0
2088,MDA-MB-468,PIK3C_2,PIK3CA_4,1.0,1.0,1.0,0.0,100.0,1.0,10.0,27.00004002,-2.878204,8.0,1.58,2.0,0.0,410.4,2.34,89.63,4.0,2.0,29.0,0.82,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,1,1,0,1,1.0
1241,NCI-H226,CSNK2A1_2,TNFSF10,0.03,0.1,0.01112275,10.0,80.89906207,0.005038402,2.1746394,0.0,37.45441,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,0,0,0.3246978877540276
581,DMS-114,ALK_2,MTOR_1,3.0,3.0,0.15199748,1.1798795,13.46420434,3.0,0.4706589,7.11624829,60.93739,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,5,2,3,0,0.4660664879356568
200,NCI-H226,AKT,CSNK2A1_2,0.1,3.0,0.00469598,1.9189471,0.0,0.217059459,0.395664,0.0,64.27931,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,3,2,3,0,0.4987488721804511
1566,NCI-SNU-16,FGFR,Proteasome_2,0.1,0.01,0.002245851,5.0986233,0.39018591,0.007885491,3.2440232000000004,0.0,-10.7516,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,8.0,5.21453,4.0,1.757,719.9,4.7,159.0,20.0,3.429,52.0,0.27258000000000004,0,0,3,0,0.0
961,Calu-6,BCL2L1,CarboTaxol,0.01,3.0,0.001473401,3.5826552000000005,8.77436206,0.019670096,1.0805047,66.42593965,6.415182,9.0,3.05,2.0,1.0,651.8,3.14611,95.52711,5.21,2.337,36.429,0.54288,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,3,2,2,0,0.0
124,DU-4475,AKT,ALK_IGFR,1.0,1.0,0.00715834,0.3680055999999999,0.0,1.0,0.5406731,0.4853978,-35.5294,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,7.0,4.08,4.0,0.0,449.0,2.75692,97.43558,4.9030000000000005,2.427,30.291,0.61224,6,1,3,0,0.4992498748122183
456,DU-4475,AKT_1,PIK3C_2,1.0,1.0,0.143714392,1.3256186,0.0,0.231330449,0.9797281,0.0,20.95919,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,8.0,1.58,2.0,0.0,410.4,2.34,89.63,4.0,2.0,29.0,0.82,6,1,3,0,0.9989999999999999
1863,KU-19-19,MAP2K_1,PIK3C,3.0,3.0,1.0,0.0,100.0,0.902182927,4.2876129,30.80562058,-15.7379,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,3,3,0,0,0.972
2139,MDA-MB-231,PIK3CB_PIK3CD,TNKS_PARP6,1.0,1.0,0.052049468,1.6357893,18.89624455,0.30000311,10.0,85.39983918,14.18614,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,1,2,0,0.0
2091,NCI-H1793,PIK3CB,Topotecan,0.3,3.0,0.240933575,1.9951379,0.0,2.247206726,0.4936001,38.18124919,36.33373,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,0.73,2.0,0.0,421.5,1.58,103.2,3.0,2.0,31.0,0.73,3,2,3,0,0.45281923076923075
1764,Calu-6,IAP,TOP2_2,3.0,1.0,0.614578909,1.7118080000000002,13.17630099,0.092939155,0.1,31.39127838,48.77588,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,13.0,0.03,3.0,2.0,588.6,0.94,160.82,5.0,2.0,42.0,0.42,3,2,3,0,0.28961540642070394
871,MDA-MB-453,BCL2_BCL2L1,FGFR,1.0,1.0,0.239883725,10.0,30.28644707,1.0,0.0,100.0,16.318929999999998,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,2,1,2,0,0.4822715025906735
1469,MDA-MB-361,ESR1_1,PIK3C,3.0,3.0,0.39654229,0.9190162,0.0,3.0,0.1217477,47.09649742,43.87407,9.0,5.35487,2.0,1.331,606.8,9.2,76.7,13.0,3.427,41.0,0.39636,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,2,1,3,0,0.99
1776,Calu-6,IAP,Topotecan,0.1,1.0,0.034594017000000005,1.6411234,21.62052441,0.0001,0.1,37.16916878,46.49813,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,0.73,2.0,0.0,421.5,1.58,103.2,3.0,2.0,31.0,0.73,3,2,3,0,0.3920798985415346
