,HBA,cLogP,HBD,Lipinski,MW
78,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
79,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
80,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
81,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
82,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
83,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
84,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
85,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
86,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
87,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
88,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
89,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
90,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
91,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
92,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
93,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
94,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
95,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
96,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
97,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
98,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
99,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
100,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
101,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
102,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
103,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
104,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
105,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
106,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
107,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
108,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
109,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
110,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
111,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
112,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
113,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
114,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
115,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
116,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
117,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
118,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
119,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
